pincode,circle,region,division,offices
713512,West bengal circle,South Bengal Region,Burdwan Division,"Agradwip BO, Belerhat BO, Chatni BO, Hapania BO, Jhaudanga BO, Lakshmipur BO, Majida BO, Patuli Station Bazar BO, Tamaghata BO, Ukhra Sarangpur BO, Patuli SO, Narayanapur SO Bardhaman"
713513,West bengal circle,South Bengal Region,Burdwan Division,"Biswaramba BO, Chakbamongaria BO, Chupi BO, Haldinawapara BO, Jahannagar BO, Kasthashali BO, Mertala BO, Minapur BO, Moail BO, Mukshinpara BO, Parulia BO, Raidogachia BO, Sutra BO, Purbasthali SO"
713514,West bengal circle,South Bengal Region,Burdwan Division,"Amul BO, Gourdanga BO, Kurchi BO, Multikrishnanagar BO, Okarsa BO, Sribati BO, Singhi SO"
713515,West bengal circle,South Bengal Region,Burdwan Division,"Dirghapara BO, Nowapara BO, Akabpur BO, Nadanghat SO"
713519,West bengal circle,South Bengal Region,Burdwan Division,"Charmaniknagar BO, Dupsa BO, Kutirpara BO, Nasaratpur BO, Raipur BO, Samudragarh SO"
713520,West bengal circle,South Bengal Region,Burdwan Division,"Bamsore BO, Balgona Tulshidanga BO, Bhatakul BO, Dhenria BO, Kalapahari BO, Poshla BO, Nityanandapur SO"
721101,West Bengal Circle,South Bengal Region,Midnapore Division,"Midnapore HO, Boxibazar SO, Dharma SO West Midnapore, Habibpur SO West Midnapore, Midnapore Collectorate SO, Midnapore Court SO, Midnapore DSB SO, Midnapore Police Line SO, Midnapore Sitala SO, Natunbazar SO West Midnapore"
721102,West Bengal Circle,South Bengal Region,Midnapore Division,"Vidyasagar University SO, Abash BO, Chandra BO, Dherua BO, Ellaboni BO, Gurguripal BO, Mataldanga BO, Monidaha BO, Nayagram Benasuli BO, Sirisdanga BO, Siromoni BO, Tantigeria BO"
721121,West Bengal Circle,South Bengal Region,Midnapore Division,"Amlagora SO, Agra BO, Banpukuria BO, Betjharia BO, Dhamcha BO, Dobati BO, Fatesingpur BO, Jagardanga BO, Jirapara BO, Kantapahari BO, Lachipur BO, Makli BO, Manglapur BO, Mayta BO, Nepura BO, Nohari BO, Patharpara BO, Sijua BO, Bagri Krishnanagar BO"
721122,West Bengal Circle,South Bengal Region,Midnapore Division,"Anandapur SO West Midnapore, Barateghari BO, Duria Radhaballav BO, Kamargeria BO, Kanasole BO, Kongarer Ayma BO, Kotai BO, Sahaspur BO"
