pincode,circle,region,division,offices
721201,West Bengal Circle,South Bengal Region,Midnapore Division,"Chandrakona SO, Amsole BO, Andharnayan BO, Bala BO, Banka BO, Benachapra BO, Bhagabantapur BO, Chhatraganj BO, Dhanyagachi BO, Dhyamkuria BO, Ghatmura BO, Jayantipur BO, Kalakari BO, Kalla BO, Keshadal BO, Khirati BO, Kiageria BO, Korasia BO, Kuanpur BO, Mahespur Murakata BO, Pandua BO, Rajganj BO, Tenpur BO, Jhakra BO"
721211,West Bengal Circle,South Bengal Region,Midnapore Division,"Daspur SO, Barhgobinda BO, Bhangabandh BO, Bhuta BO, Brahmanbasan BO, Chakpurusottampur BO, Chetua Makrampur BO, Chetua Rajnagar BO, Dadpur BO, Dharampur BO, Harekrishnapur BO, Harirajpur BO, Harirampur BO, Jotebani BO, Kalmijore BO, Molighati BO, Narajole BO, Radhakantapur BO, Sagarpur BO, Samat BO, Sankarpur BO, Uttardhankhal BO"
721212,West Bengal Circle,South Bengal Region,Midnapore Division,"Ghatal SO, Balidanga BO, Bandar BO, Benai BO, Dihiramnagar BO, Dirghagram BO, Doriayodhya BO, Ghoradaha BO, Gopmahal BO, Jaynagar BO, Jotekanuram Garh BO, Kaijuri BO, Kamalpur Sriramnagar BO, Keshabchak BO, Khanjapur BO, Khasbarh BO, Mansuka BO, Nimtala BO, Panchmaro Pratappur BO, Panna BO, Radhanagar BO, Ranichak BO, Ranir Bazar Simulia BO, Rathipur BO, Ratneswar Bati BO, Doulatchak BO, Ghatal Bazar SO"
721222,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharar SO West Midnapore, Agar BO, Dandipur BO, Irpala BO, Kuran BO, Lakshmanpur BO, Sultanpur BO, Birsingha BO"
721232,West Bengal Circle,South Bengal Region,Midnapore Division,"Khirpai SO, Alui BO, Chaklachipur BO, Chowka BO, Dingal Kamargeria BO, Gohaldanga BO, Harinagar BO, Hematpur BO, Hiradharpur BO, Hodal Srirampur BO, Jara BO, Kankabati BO, Kantadaraja BO, Kuthikonarpur BO, Maharajpur BO, Mangrul BO, Manoharpur BO, Marhmaheshpur BO, Natuk Jaykrishnapur BO, Prasadchak BO"
721242,West Bengal Circle,South Bengal Region,Midnapore Division,"Ramjibanpur SO, Deopur Amdan BO, Dianpur BO, Laxmipur BO, Moulaparamanandapur BO, Paikmajita BO, Ranimadhabpur BO, Srinagar BO, Tatarpur BO"
721253,West Bengal Circle,South Bengal Region,Midnapore Division,"Satbankura SO, Akchara BO, Barpara BO, Duki BO, Dwarigeria BO, Ghoshkira BO, Kadra BO, Khamarbarh BO, Kiaboni BO, Kiamacha BO, Mangalbandhi BO, Nadasuli BO, Nalbana BO, Guiadaha BO, Nayabasat BO, Sanatorium Digri BO"
721260,West Bengal Circle,South Bengal Region,Midnapore Division,"Neradeul SO, Amdangra BO, Amuria BO, Bandipur BO, Belyamaharajpur BO, Buriapat BO, Chandur BO, Garhsenapatya BO, Golar BO, Khalakpur BO, Kharigeria BO, Mohoboni BO, Saiyadbali BO, Sirsa BO, Supaparsuri BO, Toria BO, Uriasai BO"
721301,West Bengal Circle,South Bengal Region,Midnapore Division,"Kharagpur SO, Balarampur BO, Banpatna BO, Barachu BO, Bargokulpur BO, Barkola BO, Benapur BO, Boicha BO, Changual BO, Hiradihi BO, Jakpur BO, Khatranga BO, Lakhichak BO, Palshya BO, Pratappur BO, Rakhajangle BO, Routmoni BO, Sankoa BO, Shaymraipur BO, Shyamchak BO, Old Kharagpur BO, Gole Bazar SO, Kharagpur New Settlement SO, Kharagpur Work Shop SO, Mathurakati SO"
721302,West Bengal Circle,South Bengal Region,Midnapore Division,Kharagpur Technology SO
