business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Summit Speciality Clinic | Best ENT clinic in Siliguri | Best Child Care clinic in Siliguri,ENT Clinic,ENT Specialist,"ENT Specialist, Child health care center, Neonatal physician, Otolaryngology clinic, Pediatrician",734006,West Bengal Circle,North Bengal Region,Darjeeling Division,"Rabindra Sarani SO, Ghugumali BO, Haidarpara BO",+91 96471 75100,N/A,4.8,,"Gr floor, Nazrul Sarani, Ashram Para, Hakim Para, Siliguri, West Bengal 734001","Ashram Para, Hakim Para",26.7185323,88.4277333,ChIJU5MvmnVB5DkRx2vDwqM1UUc,https://www.google.com/maps/place/?q=place_id:ChIJU5MvmnVB5DkRx2vDwqM1UUc,part_328,2026-09-20 20:19:20
Dr. Pankaj Bhandari | Best ENT Specialist In Siliguri,ENT Clinic,ENT Specialist,"ENT Specialist, Otolaryngology clinic",734006,West Bengal Circle,North Bengal Region,Darjeeling Division,"Rabindra Sarani SO, Ghugumali BO, Haidarpara BO",+91 96471 75100,N/A,3.0,,"Gr floor, Summit Speciality Clinic | ENT & Child Care, Nazrul Sarani, Ashram Para, Hakim Para, Siliguri, West Bengal 734001","Ashram Para, Hakim Para",26.7185359,88.4277142,ChIJfZ9gzI1B5DkRJVqPtQFHB-g,https://www.google.com/maps/place/?q=place_id:ChIJfZ9gzI1B5DkRJVqPtQFHB-g,part_328,2026-09-20 20:19:20
