pincode,circle,region,division,offices
734003,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pradhan Nagar SO, Champasari BO"
734004,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Town SO, Dabgram BO, Desbandhupara SO"
734005,West Bengal Circle,North Bengal Region,Darjeeling Division,"Siliguri Bazar SO, Jyotinagar BO"
734006,West Bengal Circle,North Bengal Region,Darjeeling Division,"Rabindra Sarani SO, Ghugumali BO, Haidarpara BO"
734007,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bhaktinagar SO, East Bhaktinagar BO, Lake Town SO Darjiling"
734008,West Bengal Circle,North Bengal Region,Darjeeling Division,"Salugarah SO, Baikunthapur BO, Latpanchar BO, Lohapool BO, Shelphu BO, Sittong BO, Kalijhora B.O, Rambhi B.O"
734009,West Bengal Circle,North Bengal Region,Darjeeling Division,"Sukna SO, Gulma BO, New Chumta BO, Simulbari BO"
734010,West Bengal Circle,North Bengal Region,Darjeeling Division,"Matigara SO, Nemai BO"
734011,West Bengal Circle,North Bengal Region,Darjeeling Division,Kadamtala SO Darjiling
734012,West Bengal Circle,North Bengal Region,Darjeeling Division,"Sushrut Nagar SO, Ranidanga BO"
734013,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Bengal University SO, New Rangia BO"
734014,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bagdogra SO, Chowpukuria BO, Gossaipur BO, Tarbandha BO"
734015,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mahananda Project SO, Fulbarihat BO, Satellite Township BO"
734101,West Bengal Circle,North Bengal Region,Darjeeling Division,"Darjeeling HO, Bhanugram SO, Bhutia Busty SO, Darjeeling Bazar SO, Darjeeling Court SO, Rose Bank SO"
734102,West Bengal Circle,North Bengal Region,Darjeeling Division,"Ghoom SO, Bloom Field BO, Chhotapubong BO, Gumba BO, Lingia BO, Lower Chongtong BO, Marybong BO, Pussimbing BO, Risheehat BO, Simkuna BO, Tamsang BO"
734103,West Bengal Circle,North Bengal Region,Darjeeling Division,"Jalapahar SO, Rajbari BO"
734104,West Bengal Circle,North Bengal Region,Darjeeling Division,"North Point SO, Bannersberg BO, Singla BO, Singtam BO, Soom BO, Udaigram BO, Tukver B.O"
734105,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lebong SO, Badamtam BO, Mineral Spring BO"
734201,West Bengal Circle,North Bengal Region,Darjeeling Division,"Bijanbari SO, Bansbotey BO, Dara Goan BO, Goke Bazar BO, Jhepi BO, Kaijalia BO, Kolbong BO, Lama Goan BO, Lodhomahat BO, Relling BO, Rimbick BO, Tumbayok BO, Pulbazar B.O"
734203,West Bengal Circle,North Bengal Region,Darjeeling Division,"Kurseong MDG, Ambootia BO, Mahanadi BO, Dumaram Busty SO"
734204,West Bengal Circle,North Bengal Region,Darjeeling Division,Dowhill SO
734209,West Bengal Circle,North Bengal Region,Darjeeling Division,"Sonada SO, Balasun BO, Moonda Koti BO, Nalichor BO, Ringtong BO, Tamsing Dhura BO, Rangmook BO, Dooteriah B.O, Rangbull B.O"
734213,West Bengal Circle,North Bengal Region,Darjeeling Division,"Lopchu SO, Lamahatta BO, Maney Dara BO, School Dhura BO, Singritam BO"
734214,West Bengal Circle,North Bengal Region,Darjeeling Division,"Mirik SO, Duptin10 BO, Gopaldhara BO, Lower Soureni BO, Okaity BO, Seeyok BO, Thurbo BO, Soureni Bazar B.O"
734215,West Bengal Circle,North Bengal Region,Darjeeling Division,"Nagrispur SO, Dhajea BO, Malat Bazar BO, Mangarjung BO"
734216,West Bengal Circle,North Bengal Region,Darjeeling Division,"Pokhriabong SO, Rangbang BO, Selimbong BO"
