pincode,circle,region,division,offices
731126,West bengal circle,Kolkata Region,Birbhum Division,"Bhabanipur BO, Ganeshpur BO, Ghatdurlavpur BO, Gohaliara BO, Madhaipur BO, Nagari BO, Paruliahazrapur BO, Patadanga BO, Patharchapuri BO, Rajganj BO, Rautara BO, Sajina BO, Tabadumra BO, Tantipara BO, Karidhya SO"
731127,West Bengal Circle,Kolkata Region,Birbhum Division,"MdBazar SO, Amjolpahari BO, Baidyanathpur BO, Baliharpur BO, Bishnupurkulkuri BO, Charicha BO, Debagramchuramali BO, Kapista BO, Nimdaspur BO, Rampur BO, Sarenda BO, Sehelaraipur BO, Seherakuri BO"
731129,West bengal circle,Kolkata Region,Birbhum Division,"Damdama BO, Dholtikuri BO, Gadadharpur BO, Ikra BO, Majhigram BO, Purundarpur SO"
731130,West bengal circle,Kolkata Region,Birbhum Division,"Aligarh BO, Joypur BO, Kundira BO, Kurulmetia BO, Lauberia BO, Laujore BO, Muktipur BO, Ranigram BO, Rajnagar SO Birbhum"
731132,West bengal circle,Kolkata Region,Birbhum Division,"Deucha BO, Harinsingha BO, Kabilpur BO, Nischintapur Jagatpur BO, Puranagram BO, MdBazar Town Ship SO"
731133,West bengal circle,Kolkata Region,Birbhum Division,"Churar BO, Paigora BO, Ranipathar BO, Panchrahat SO"
731201,West bengal circle,Kolkata Region,Birbhum Division,"Bagrakonda BO, Bataspur BO, Belia BO, Bhalkuti BO, Bhoromorekol BO, Chotosangra BO, Chowhatta BO, Dewas Chandpur BO, Hatia BO, Ikra Hazrapur BO, Kheyerpara BO, Konarpur BO, Kuchuighata BO, Kurumsha BO, Laghosa BO, Mahodory BO, Nimgoria BO, Nirisha BO, Paharpur BO, Purbasiur BO, Sindurtopa BO, Uttarkhayerbuni BO, Ahmadpur SO, Iswarpurndtso SO"
731202,West bengal circle,Kolkata Region,Birbhum Division,"Barakartickchungri BO, Dakhalbati BO, Joykrishnapur BO, Kaluha BO, Laha BO, Mallickpur BO, Margram BO, Ningha BO, Baswa SO Birbhum"
731204,West Bengal Circle,Kolkata Region,Birbhum Division,"Bolpur SO, Adityapur BO, Albandha BO, Bagdowra BO, Darpasila BO, Kuchligopalpur BO, Laldaha BO, Muluk BO, Raipur BO, Rajatpur BO, Sian BO, Sitapur BO, Supur BO, Bolpur Bazar SO, Bolpur Trisulapatty SO, Bolpur Ukilpatty SO, Bolpur Court BO"
731213,West bengal circle,Kolkata Region,Birbhum Division,"Brahmanbahara BO, Chhamna BO, Chhototurigram BO, Daspalsa BO, Kaleswar BO, Kanutia BO, Kotasur BO, Kuliara BO, Kusumi BO, Mohurapur BO, Parulia BO"
731214,West bengal circle,Kolkata Region,Birbhum Division,"Chunpalasi BO, Dhalla BO, Dumrut BO, Ghurisha BO, Hansra BO, Koyra BO, Latbhabanipur BO, Matikona BO, Moukhira BO, Paikuni BO, Paschimnarayanpur BO, Payer BO, Sunmuni BO, Ushardihi BO, Illambazar SO"
731215,West bengal circle,Kolkata Region,Birbhum Division,"Bandar BO, Belai BO, Brahmankhanda BO, Gannaserandi BO, Palita BO, Sakodda BO, Saraswatibazar BO, Srikrishnapur BO, Thupsara BO, Khujutipara SO"
731216,West bengal circle,Kolkata Region,Birbhum Division,"Bharkata BO, Dabuk BO, Damra BO, Dighalgram BO, Dwaruri BO, Gonpur BO, Kanachi BO, Kastogoria BO, Katigram BO, Makdamnagar BO, Mohula BO, Muruli Dangal BO, Sekpur BO, Sonj BO, Taloan BO, Tarachua BO, Mallarpur SO"
731218,West Bengal Circle,Kolkata Region,Birbhum Division,Mayureswar SO
731219,West bengal circle,Kolkata Region,Birbhum Division,"Amdole BO, Bahadurpur BO, Beliapalsa BO, Bhimpur BO, Bipranandigram BO, Dhananjoypur BO, Dumurgram BO, Edrakpur BO, Kahinagar BO, Kalahapur BO, Kanakpur BO, Kathia BO, Malaypur BO, Nayagram BO, Ramchandrapur BO, Ruprampur BO, Murarai SO"
731220,West bengal circle,Kolkata Region,Birbhum Division,"Barla BO, Debagram BO, Diha BO, Gosainpur BO, Kaitha BO, Kalitha BO, Kogram BO, Modhura BO, Mustofadanga BO, Paikpara BO, Tejhati BO, Nalhati SO"
731221,West bengal circle,Kolkata Region,Birbhum Division,"Bangsabati BO, Bonha BO, Dantura BO, Gaganpur BO, Harowa BO, Hilora BO, Jajigram BO, Kasimnagar BO, Mitrapur BO, Panchahar BO, Raturi BO, Tirogram BO, Paikar SO"
731222,West bengal circle,Kolkata Region,Birbhum Division,"Ambhua BO, Bahutali BO, Bandhaipur BO, Bhabanipur Bhatra BO, Bonmohurapur BO, Bonorampur BO, Boruagopalpur BO, Kanaighat BO, Omarpur BO, Rajgramgram BO, Sidhori BO, Srirampur BO, Rajgaon SO"
731223,West bengal circle,Kolkata Region,Birbhum Division,"Barapahari BO, Beliamritunjoypur BO, Dadpur BO, Kusumba BO, Narayanpur BO, Swadhinpur BO, Chakaipur BO, R K Sikshapith SO"
731224,West Bengal Circle,Kolkata Region,Birbhum Division,"Rampurhat HO, Mahajanpatty SO, Nischintapur SO, Railpar SO Birbhum"
731233,West bengal circle,Kolkata Region,Birbhum Division,"Atla BO, Barsal BO, Chakpara BO, Dekhuria BO, Gug BO, Karkaria BO, Kharbona BO, Kharun BO, Majkhanda BO, Poprasahapur BO, Sandhigorabazar BO, Sandhyajole BO, Tarapur BO, Chandipur Tarapith SO"
731234,West bengal circle,Kolkata Region,Birbhum Division,"Bagdola BO, Barasija BO, Basudevpur BO, Beliakuricha BO, Chautara BO, Deriapur BO, Derpur BO, Dohira BO, Fulur BO, Gadadharpur RS BO, Gorola BO, Gunutia BO, Hatora BO, Jiwe BO, Kumarpur BO, Kundala BO, Kunuri BO, Majiara BO, Mathpalsa BO, Nowaparamahadipa BO, Pathai BO, Ramnagar BO, Rangaipur BO, Sahora BO, Satpalsa BO, Saugram BO, Uchpur BO, Ulkunda BO, Uttarbonogram BO, Sainthia SO, Rakhakalitala SO, Sainthia Bazar SO"
731235,West bengal circle,Kolkata Region,Birbhum Division,"Paruldanga BO, Santiniketan SO"
731236,West bengal circle,Kolkata Region,Birbhum Division,"Belatisultanpur BO, Benuria BO, Bergram BO, Bheramari BO, Bishnukhanda BO, Daranda BO, Digha BO, Kasba BO, Khanjanpur BO, Monoharpur BO, Nachansaha BO, Ruppur BO, Sattore BO, BITM BO, Sriniketan SO"
731237,West bengal circle,Kolkata Region,Birbhum Division,"Bandhkhola BO, Bara BO, Bhadrapur BO, Gopalchak BO, Jesthabhabanipur BO, Kantagoria BO, Krishnapur BO, Noapara BO, Salisanda BO, Sitalgram BO, Ujirpur BO, Lohapur SO"
731238,West bengal circle,Kolkata Region,Birbhum Division,"Bhadista BO, Bishore BO, Chhatina BO, Duria BO, Goalmal BO, Jogai BO, Khanpur BO, Kusmore BO, Rudranagar BO, Sultanpur BO, Chatra SO Birbhum"
731240,West Bengal Circle,Kolkata Region,Birbhum Division,"Bahiri SO, Banagram BO, Bangachhatra BO, Gheedaha BO, Hatserandi BO, Jalandi BO, Nahina BO, Pafuri BO, Panchsowa BO, Sansat BO, Singhee BO"
731241,West bengal circle,Kolkata Region,Birbhum Division,"Dunigram BO, Koyemba BO, Nonadanga BO, Chandpara SO"
731242,West bengal circle,Kolkata Region,Birbhum Division,"Anantapurkanaipur BO, Bujung BO, Gopegram BO, Sardha BO, Kurumgram SO"
731243,West bengal circle,Kolkata Region,Birbhum Division,"Ayas BO, Banior BO, Bautia BO, Bhabanandapur BO, Chilinpur BO, Haridaspur BO, Harioka BO, Sonarkundu BO, Nalhati Township SO"
