business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lead ROI Partner | Performance Marketing & Lead Generation Agency,Local SEO Agencies,Marketing agency,"Marketing agency, Marketing consultant, Media company, Website designer",721406,West Bengal Circle,South Bengal Region,Contai Division,Monoharchak SO,+91 98837 95370,https://www.leadroipartner.in/,5.0,,"Girish Ghosh Rd, Belur Math, Belur, Howrah, Kolkata, West Bengal 711204","Belur Math, Belur",22.6250179,88.3527524,ChIJI6ug1Rid-DkRtK6RaxfnIvw,https://www.google.com/maps/place/?q=place_id:ChIJI6ug1Rid-DkRtK6RaxfnIvw,part_322,2026-09-20 20:33:05
Website Designing Company in Noida | RDS WEBTECH,Local SEO Agencies,Website designer,"Website designer, Software company",721406,West Bengal Circle,South Bengal Region,Contai Division,Monoharchak SO,+91 97165 60390,http://rdswebtech.com/,3.7,,"3rd Floor C, 76, Metro Station Rd, C Block, Sector 2, Noida, Uttar Pradesh 201301","C Block, Sector 2",28.5836974,77.3132892,ChIJEy9ozV7kDDkRxqe2I0Mae3M,https://www.google.com/maps/place/?q=place_id:ChIJEy9ozV7kDDkRxqe2I0Mae3M,part_322,2026-09-20 20:33:05
