business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Jindal Panther TMT Dealer - P A Enterprises | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 95761 06036,https://www.jindalpanther.com/,3.7,15.0,"23, National Highway, Chas, Bokaro Steel City, Jharkhand 827013",Chas,23.6173103,86.16986109999999,ChIJgWhYyVch9DkR_6_uiNHXerI,https://www.google.com/maps/place/?q=place_id:ChIJgWhYyVch9DkR_6_uiNHXerI,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - Shivam Steel | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 95700 00122,https://www.jindalpanther.com/,,,"159 Parchuttu, Neori Vikas, Jena, Ranchi, Bandhdih, Jharkhand 835217",Jena,23.6632073,86.0180153,ChIJGUpU-d3l9DkR8OoerYIkFqM,https://www.google.com/maps/place/?q=place_id:ChIJGUpU-d3l9DkR8OoerYIkFqM,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - Bokaro Iron Store-Jainamore |TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 99343 72662,https://www.jindalpanther.com/,,,"Jainamore, Bokaro Steel City, Narayanpur, Jharkhand 827014",Jainamore,23.608169,86.1686046,ChIJx9kkdpwl9DkRUIxgnaaip9s,https://www.google.com/maps/place/?q=place_id:ChIJx9kkdpwl9DkRUIxgnaaip9s,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - Ans Sales | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 98358 23263,https://www.jindalpanther.com/,,,"Niwas, Prajapati, Jena, Bandhdih, Bokaro Steel City, Jharkhand 829301","Prajapati, Jena",23.6621739,86.0177205,ChIJecZhADc99DkROJHfuLp0o48,https://www.google.com/maps/place/?q=place_id:ChIJecZhADc99DkROJHfuLp0o48,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - Muskan Enterprises|TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 99550 44306,https://www.jindalpanther.com/,,,"Chas, Bandhgora, Bokaro Steel City, Jharkhand 827014",Chas,23.611343299999998,86.1566967,ChIJO1Clt-0l9DkR98sYrm9ZJMs,https://www.google.com/maps/place/?q=place_id:ChIJO1Clt-0l9DkR98sYrm9ZJMs,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - Park Industries | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 70791 17777,https://www.jindalpanther.com/,,,"Jainamore, Bokaro Steel City, Narayanpur, Jharkhand 827014",Jainamore,23.605253299999998,86.16244669999999,ChIJ3Ut-SC8l9DkR8tNVBQvrcM4,https://www.google.com/maps/place/?q=place_id:ChIJ3Ut-SC8l9DkR8tNVBQvrcM4,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - P A Enterprises | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 95761 06036,https://www.jindalpanther.com/,,,"Chas, Bandhgora, Bokaro Steel City, Jharkhand 827014",Chas,23.617305299999998,86.1698079,ChIJ5VfmC6Ul9DkRZtNTU59Og5g,https://www.google.com/maps/place/?q=place_id:ChIJ5VfmC6Ul9DkRZtNTU59Og5g,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - P A Enterprises | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 8071 499 441,https://www.jindalpanther.com/,5.0,1.0,"Chas, Bokaro Steel City, Jharkhand 827013",Chas,23.617262,86.1699768,ChIJR7vz_RIj9DkRxQHzLAUXpY8,https://www.google.com/maps/place/?q=place_id:ChIJR7vz_RIj9DkRxQHzLAUXpY8,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - Shivam Steel |TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 95700 00122,https://www.jindalpanther.com/,3.9,7.0,"Rajdhani Road, Jena, Bokaro Steel City, Bandhdih, Jharkhand 829301",Jena,23.6632407,86.0179945,ChIJI-mWlyw89DkR0oEmVDa9nC8,https://www.google.com/maps/place/?q=place_id:ChIJI-mWlyw89DkR0oEmVDa9nC8,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - Hello India |TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 93085 85383,https://www.jindalpanther.com/,,,"Balidih, Bokaro Steel City, Narayanpur, Jharkhand 827014",Balidih,23.6081333,86.16866,ChIJFXM0He0l9DkRJmlk32ttTJ0,https://www.google.com/maps/place/?q=place_id:ChIJFXM0He0l9DkRJmlk32ttTJ0,part_325,2026-09-20 20:46:15
Jindal Panther TMT Dealer - Chhotelal Radheshyam | TMT Rebars & Sariya Supplier,TMT Steel and Iron Wholesaler,Iron & Steel Store,"Iron & Steel Store, Aggregate supplier, Building materials market, Building materials supplier, Iron works, Metal supplier, Steel distributor",723213,West Bengal Circle,South Bengal Region,Purulia Division,"Jiudaru SO, Bamnia BO, Bararola BO",+91 94311 27349,https://www.jindalpanther.com/,,,"Chas, Bokaro Steel City, Jharkhand 827014",Chas,23.6882175,86.0594362,ChIJYQJjMJ899DkRHo9fqr3_AiQ,https://www.google.com/maps/place/?q=place_id:ChIJYQJjMJ899DkRHo9fqr3_AiQ,part_325,2026-09-20 20:46:15
