pincode,circle,region,division,offices
722183,West Bengal Circle,South Bengal Region,Bankura Division,Mejia Th Power Station SO
722201,West Bengal Circle,South Bengal Region,Bankura Division,"Akui SO, Dighalgram BO, Gangarampur Bamnia BO, Khorsee BO, Mandra BO, Ratra BO, Trisalan BO"
722202,West Bengal Circle,South Bengal Region,Bankura Division,"Barjora SO, Muktatore BO, Shitla BO, Unara Jambedia BO, Ghutgoria BO, Krishnanagar BO"
722203,West Bengal Circle,South Bengal Region,Bankura Division,"Beliatore SO, Barbendya BO, Barkura BO, Bhattapara BO, Chhandar BO, Dhabani BO, Dadhimukha BO, Godardihi BO, Jagannathpur BO, Pirraboni BO, Ramharipur BO, Salbedia BO, Brindabanpur BO"
722204,West Bengal Circle,South Bengal Region,Bankura Division,Hatasuria SO
722205,West Bengal Circle,South Bengal Region,Bankura Division,"Indas SO, Paharpur BO, Behar BO, Charigram BO, Sashpur BO, Karisunda BO, Kusmuri BO, Rol BO, Rajkhamar BO, Biur BO, Kharrah BO, Mangalpur BO, Chandga Palashi BO, Rasulpur BO"
722206,West Bengal Circle,South Bengal Region,Bankura Division,"Patrasayer SO, Akhrasole BO, Amrul BO, Balsi BO, Bamira BO, Bankisole BO, Belut BO, Betur BO, Ghoradanga BO, Hamirpur BO, Hatkrishnanagar BO, Jamkuri BO, Kabirchak BO, Kakatia BO, Kenety BO, Majurdanga BO, Pandua BO, Parulia BO, Patit BO, Salna BO"
722207,West Bengal Circle,South Bengal Region,Bankura Division,"Sonamukhi SO Bankura, Amritpara BO, Birsinghpur BO, Gopikantapur BO, Hamirhati BO, Kochdihi BO, Kundapuskarani BO, Kushadwip BO, Machdoba BO, Majirdanga BO, Manikbazar BO, Nabasan BO, Nutanbalarampur BO, Radhamohanpur BO, Ranpur BO, Rapatganj BO, Bonbirsingha BO, Dhansimla BO, Dipara BO, Hadal Narayanpur BO, Sonamukhi Rath Tala SO"
722208,West Bengal Circle,South Bengal Region,Bankura Division,"Pakhanna SO, Palashdanga BO, Pearberia BO, Radhakantapur BO, Tajpur Purakona BO"
723101,West Bengal Circle,South Bengal Region,Purulia Division,"Purulia HO, Alangidanga SO, Chowkbazar SO Puruliya, Jubli Compound SO, Purulia RS SO"
723102,West bengal circle,South Bengal Region,Purulia Division,"Kotloi BO, Simulia BO, Chakaltore BO, Gobindapur BO, Dulminadiha SO, Bhandarpuara BO, Palma Penchara BO, Dorodih BO, Beldih BO, Chakirbon BO, Durku BO, Pichasi BO, Pundru BO, Ralibera BO, Chitora BO, Ketika BO"
723103,West Bengal Circle,South Bengal Region,Purulia Division,"Namopara SO, Sindri Chas Road BO, Banbahal BO, Baragram BO, Bhul BO, Chirka BO, Dabar Balarampur BO, Dimdiha BO, Garafushra BO, Gengara BO, Ghagarjuri BO, Golbera BO, Kanali BO, Ramamoti BO, Ranibandh BO, Shibdih BO"
723104,West bengal circle,South Bengal Region,Purulia Division,"Kulgora BO, Sainik School SO Puruliya, Hatikundar BO, Hura Keshabpur BO, Kusumjoria BO, Kalabani BO, Lakhanpur BO, Khairipihira BO"
723121,West bengal circle,South Bengal Region,Purulia Division,"Arrah BO, Adra SO, Beko BO, Bhamuria BO, Bortoria BO, Chalmara Puapur BO, Chapri BO, Chorpahari BO, Digha BO, Gagnabad BO, Ghatrangamati BO, Gourangdih BO, Kalapathar SO PuruliBO, Kalidaha BO, Madhukunda BO, Monihara BO, Murulia BO, Narayanpur BO, Neturia BO, Nutangram BO, Pabra BO, Parbedia BO, Rajra Shibtola BO, Rampur BO, Rangametya BO, Saltore BO, Sanka BO, Senera BO, Siyada BO, Sonathali Ashram BO, Sunuri BO, Sutabai BO, Bonra BO, Adra Market SO"
723126,West Bengal Circle,South Bengal Region,Purulia Division,"Anara RS SO, Anara BO, Bagalia BO, Belma BO, Biltora BO, Choutala Bhagabandh BO, Chuna BO, Fushrabad BO, Jalika BO, Jhapra BO, Jorberia BO, Kalajore BO, Kaluhar BO, Kustaur BO, Lipania BO, Malthore BO, Mamurjore BO, Nadiha BO, Pithajore BO, Sonaijuri BO, Tentulda BO"
723127,West Bengal Circle,South Bengal Region,Purulia Division,"Barabhum SO, Amrabera BO, Badaldih BO, Bamundiha BO, Dhadkidih BO, Dhelat Bamu BO, Dumurdih BO, Fatepur Sindri BO, Fuljhore BO, Herbona BO, Hizla BO, Jilling BO, Nischintapur BO, Puriara BO, Roladih BO, Rupapetya BO, Sarberia BO, Sukurhutu BO"
