business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Kidney Dialysis Center in Kandivali | The Renal Project,Dialysis Center,Dialysis center,Dialysis center,721139,West bengal circle,South Bengal Region,Tamluk Division,"Arisanda BO, Bakulda BO, Dehati BO",+91 91678 60981,https://www.therenalproject.com/center/dialysis-center-in-kandivali.php,4.0,1,"1, Datta Mandir Rd, opp. L.I.C.Office, Kandivali, Dahanukar Wadi, Kandivali West, Mumbai, Maharashtra 400067","Kandivali, Dahanukar Wadi, Kandivali West",19.2100626,72.8358738,ChIJT-OpgX-35zsRlkdUhocfONU,https://www.google.com/maps/place/?q=place_id:ChIJT-OpgX-35zsRlkdUhocfONU,part_321,2026-09-20 20:31:55
Kidney Dialysis Center in Borivali | The Renal Project,Dialysis Center,Dialysis center,Dialysis center,721139,West bengal circle,South Bengal Region,Tamluk Division,"Arisanda BO, Bakulda BO, Dehati BO",+91 91678 60981,https://therenalproject.com/,4.8,21,"Plot No. 65-68 and 66-6, next to Mahakali Juice centre, near Gorai Bridge, Gorai 1, Borivali West, Mumbai, Maharashtra 400091","Gorai 1, Borivali West",19.2263509,72.82780369999999,ChIJd5jQhuSx5zsRdSPm3WNyydg,https://www.google.com/maps/place/?q=place_id:ChIJd5jQhuSx5zsRdSPm3WNyydg,part_321,2026-09-20 20:31:55
