pincode,circle,region,division,offices
732139,West Bengal Circle,North Bengal Region,Malda Division,"Samsi SO, Amarsinghi BO, Baldiapukur BO, Batna BO, Bhado BO, Chandmoni BO, Chorolmoni BO, Damaipur BO, Gangadevi BO, Jitarpur BO, Kandaran BO, Karbona BO, Kashimpur BO, Sonarai BO, Sripur BO"
732140,West Bengal Circle,North Bengal Region,Malda Division,"Tulsihatta SO, Bangrua BO, Bhatolchandipur BO, Bishanpur BO, Boroi BO, Chandipur BO, Jabra BO, Kushida BO, Paro BO, Ramsimul BO"
732141,West Bengal Circle,North Bengal Region,Malda Division,"Narayanpur SO Malda, Jatradanga BO, Popra BO"
732142,West Bengal Circle,North Bengal Region,Malda Division,"Mangalbari SO, Bachamari BO, Madhaipur BO, Nageswarpur BO, Sahapur BO"
732144,West Bengal Circle,North Bengal Region,Malda Division,Kotwali SO Malda
732201,West Bengal Circle,North Bengal Region,Malda Division,"Kaliachak SO, Alinagar BO, Alipur BO, Bahadurpur BO, Baliadanga BO, Bholaichak BO, Charianantapur BO, Dakshin Lakshmipur BO, Dallugram BO, Duisatabighi BO, Golapganj BO, Haruchak BO, Jotparam BO, Joyenpur BO, Khaschandpur BO, Nabinagar BO, Nayagram BO, Purba Bahadurpur BO, Rajnagar BO, Ramnagar BO, Sabdalpur BO, Sahabazpur BO, Shashani BO, Shersahi BO, Sukdevpur BO, Sultanganj BO, Uttar Dariapur BO"
732202,West Bengal Circle,North Bengal Region,Malda Division,"Manikchak SO, Chowki Mirdadpur BO, Dallutola BO, Dharampur BO, Enayetpur BO, Janakiramtola BO, Mohana BO, Purbasaidpur BO, Rahimpur BO"
732203,West Bengal Circle,North Bengal Region,Malda Division,"Mathurapur SO Malda, Bakdukra Anantalalpur BO, Bhutni BO, Khairtola BO, Lalbathani BO, Nazirpur BO, Noaborar Jaigir BO, Nurpur BO, Sukdevtola BO, Suksena BO, Uttar Chandipur BO"
732204,West Bengal Circle,North Bengal Region,Malda Division,"Paranpur SO, Brahmangram BO, Ekborna BO, Goraksha BO, Khoilsona BO, Mirjatpur BO, Araidanga BO, Pukhuria BO"
732205,West Bengal Circle,North Bengal Region,Malda Division,"Ratua SO, Baharal BO, Bahirkap BO, Balupur BO, Banikantatala BO, Bilaimari BO, Debipur BO, Kahala BO, Kamalpur BO, Laskarpur BO"
732206,West Bengal Circle,North Bengal Region,Malda Division,"Sujapur SO, Bakharpur BO, Baluachara BO, Bamangram BO, Chaspara BO, Chhoto Sujapur BO, Fatehkhani BO, Gayeshbari BO, Jalalpur BO, Jamirghata Sarkarpara BO, Madhugaht Filature Estate BO, Mosimpur BO, Sherpur BO, Jadupur BO, Sayedpur BO"
732207,West bengal circle,North Bengal Region,Malda Division,"Jagannathpur Rathbari BO, Jitnagar BO, Jotgopal Kagmari BO, Jugaltola BO, Khaskol Chandipur BO, Meherapur BO, Panchanandapur BO, Sripur Colony BO, Uttar Lakshmipur BO, Mothabari SO, Bangitola BO, Birampur BO, Damodartola BO, Debipur Achintala BO, Gangaprasad BO, Hamidpur BO"
732208,West Bengal Circle,North Bengal Region,Malda Division,"Amrity SO, Atgama BO, Koklamari BO, Madapur BO, Nagharia BO, Niamatpur BO, Phulbaria BO, Sattari BO"
732209,West Bengal Circle,North Bengal Region,Malda Division,"Sovanagar SO, Bhabanipur BO, Gopalpur BO, KB Jhowbona BO, Pirpur BO, Sahabattola BO, Milki BO"
732210,West Bengal Circle,North Bengal Region,Malda Division,"Baishnabnagar SO, Bedrabad BO, Bhgabanpur BO, Chakbahadurpur BO, Char Sujapur Mandai BO, Krishnapur BO, Lakshmipur BO, Nandalalpur BO"
732215,West Bengal Circle,North Bengal Region,Malda Division,Pubarun SO
732216,West Bengal Circle,North Bengal Region,Malda Division,"Mahadipur SO, Akandabaria BO, Jaluabadhal Mallikpara BO, Kadamtala BO, Nawada BO, South Kadamtala BO, Srirampur BO, Umakantatola BO, Uttar Mahadipur BO"
733101,West Bengal Circle,North Bengal Region,Dinajpur Division,"Balurghat HO, Balurghat Market SO, Chakbhabani SO, Khadimpur SO, Narayanpur SO South Dinajpur, School Para SO"
733102,West Bengal Circle,North Bengal Region,Dinajpur Division,"Chakvrigu SO, Barakashipur BO, Bharila BO, Bhatra BO, Dakra BO, Gofanagar BO, Jalghar BO, Khaspur BO, Kuaran BO, Radhanagar BO, Rajua BO"
733103,West Bengal Circle,North Bengal Region,Dinajpur Division,"Beltala Park SO, Amrail BO, Amritakhanda Hat BO, Bedoypur BO, Bijoyshree BO, Birohini BO, Dakshin Shibrampur BO, Khidirpur BO, Nunail BO, Sarangram BO, BaraRaghunathpur SO, District School Board SO South Dinajpur"
733121,West Bengal Circle,North Bengal Region,Dinajpur Division,"Buniadpur SO, Badalpur BO, Banshihari BO, Biswanathpur BO, Cheragipara BO, Dikul BO, Durgapur BO, Joredighi BO, Kalikamora BO, Karai BO, Karkha BO, Kushkari BO, Mahipal BO, Nilgambhir BO, Sihole BO, Sudarshannagar BO"
733123,West Bengal Circle,North Bengal Region,Dinajpur Division,"Debinagar SO, Bariol BO, Birghai BO, Gorahar BO, Hatia BO, Ital BO, Keotal BO, Paschim Manoharpur BO, Rupahar BO, Tenohari BO"
