pincode,circle,region,division,offices
735305,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Bhotepatty SO, Bakali BO, Barakamat BO, Bhuskadanga BO, Dangapara Ashram BO, Dharampur BO, Helapakri BO, Jorepakri BO, Padamati BO, Putimari BO"
736101,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Cooch Behar HO, Bangchatra SO, Cooch Behar Bazar SO, Cooch Behar New Town SO, Cooch Behar Railway Station SO, Durgabari Subhash Pally SO, Gunjabari SO, Kharimala Khagrbari SO, Patakura SO Cooch Behar"
736121,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar SO, Bararangrash BO, Bhatibari BO, Birpara Alipurduar BO, Boragari BO, Chalnirpak BO, Chaparerpar BO, Dakshin Patkapara BO, Gharghariahat BO, Gopaldashat BO, Hatidhura BO, Khochabarihat BO, Kholta BO, Kumarijan BO, Marichbari BO, Panchkolguri BO, Paschim Khalisamari BO, Paschim Shalbari BO, Soudpara BO, Tapshikhata BO, Uttarpatkapara BO, Alipurduar New Town SO"
736122,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar Court SO, Banchukamari BO, Ghagra BO"
736123,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Alipurduar Junction SO, Bholardabri BO, Damanpur BO, Majherdabri BO"
736131,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Bakshirhat SO, Bakla BO, Balakuthi BO, Bhainskuthi BO, Bhanukumari BO, Chhitbaralaukuthi BO, Falimari BO, Nakarkhana BO, Rasikbil BO, Shilghagri BO, Uttar Falimari BO"
736133,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Baneswar SO, Ambari BO, Bhatlaguri BO, Bokalirmath BO, Chagalber BO, Chaudanga BO, Gopalpur BO, Hatiduba BO, Kaljani BO, Khapaidanga BO, Nayarhat BO, Purba Gopalpur BO, Siddheswari BO, Sonari BO, Uttar Ambari BO"
736134,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Dewanhat SO, Balairhat BO, Bhetaguri BO, Bhulki BO, Borodanga BO, Brahmanir Chauki BO, Chekadera BO, Dhumpur Balasi BO, Dighaltari BO, Gheghirhat BO, Haribhanga BO, Jiranpur BO, Kamat Seoraguri BO, Khutamara BO, Kumarganj BO, Mansab Seoraguri BO, Moamari BO, Nazirhat BO, Panisala BO, Pushnadanga BO, Ruerkuthi BO, Salmara BO, Souldhukri BO"
736135,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Dinhata SO, Balakandi BO, Bara Atiabari BO, Baranachina BO, Baravita BO, Bhagni Parti BO, Bhalka Putimari BO, Bhutkura BO, Chhoto Atiabari BO, Gitaldaha Atiabari BO, Gitaldaha BO, Gobrasara BO, Jamadarerbash BO, Jarabari BO, Karala BO, Kawrai BO, Koalidaha BO, Matalhat BO, Natkobarihat BO, Petla BO, Putimari BO, Ratinandan Konamukta Payesthi BO, Singimari Madnakura BO, Subachanirpath BO, Dinhata Bazar SO"
736145,West bengal circle,North Bengal Region,Cooch Behar Division,"Bajejama Pakhihaga BO, Baranatabari BO, Hatiram Salbari BO, Masanpath BO, Nutanbash BO, Pakhihaga BO, Phulbari BO, Gossanimari SO"
736146,West bengal circle,North Bengal Region,Cooch Behar Division,"Andaran Pakhihaga BO, Barogharia Garkuta BO, Bhangamore BO, Gadaler Kuthi BO, Jatamari BO, Jorepatki BO, Kanfata BO, Kawardera BO, Khalishamari BO, Kurshamari BO, Mahishcharu BO, Pachagarh BO, Shikarpur BO, South Bhangamore BO, Mathabhanga SO"
736156,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nilkuthi SO, Airani Chitalia BO, Baikunthapur BO, Bhelakopa BO, Bhelapeta BO, Chakchaka BO, Charaljani BO, Chhatbarachauki BO, Chhatoa BO, Dawaguri BO, Deocharai BO, Konamali Khapaidanga BO, Krishnapur BO, Maruganj BO, Natabari BO, Pestarjhar BO, Talliguri BO"
736157,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Nishiganj SO, Akrarhat Bandar BO, Angerkata Paradubi BO, Bairati BO, Bhogmara BO, Chilkirhat BO, Domuka Nayarhat BO, Elajanerkuthi BO, Maghpala BO, Matiarkuthi BO, Patchhara BO, Patpishu BO, Putimari Fuleswari BO, Shildanga BO"
736158,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Sitalkuchi SO, Bamanpara BO, Baramaricha BO, Golenawhati BO, Lalbazar PartII BO, Nagarlal Bazar BO, Purba Sitalkuchi BO"
736159,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Tufanganj SO, Andaranfulbari West BO, Balabhut BO, Balaghat BO, Balapukuri BO, Barashalbari BO, Barokodali BO, Begarkhata BO, Bhandijelash BO, Bhurkush BO, Chhatrampur BO, Chilakhana BO, Colony Chamta BO, Debagram BO, Dhadial BO, Dhalpal BO, Dorkochengtimari BO, Dwiperpar BO, Ghogarkuthi BO, Harirhat BO, Jaigir Chilakhana BO, Jhaljhali BO, Jhaokuthi BO, Kamat Fulbari BO, Kashidanga BO, Langalgram BO, Mansai BO, Nagurhat BO, Shalbari BO, Uttar Ghogarkuthi BO"
736160,West Bengal Circle,North Bengal Region,Cooch Behar Division,"Tufanganj New Town SO, Andaran Fulbari BO, Bilshi BO, Chhat Fulbari BO, Uttar Andaranfulbari BO"
