business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BISHNATH SECURITY SOLUTION,CCTV Installation and Security System,Electrical engineer,"Electrical engineer, Camera store, Electronic engineering service",735134,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Rajganj SO, Fatapukur BO, Gadra BO",N/A,N/A,5.0,,"Bss Security, Jyotirmoy colony, Ward 32, Babupara, Siliguri, West Bengal 734004","Ward 32, Babupara",26.6796223,88.41404039999999,ChIJ3UTvL6tB5DkRVOEKXhTpxKA,https://www.google.com/maps/place/?q=place_id:ChIJ3UTvL6tB5DkRVOEKXhTpxKA,part_329,2026-09-20 20:23:24
KRUSHNAI SYSTEMS PVT LTD | Best CCTV Camera Dealers in Nashik,CCTV Installation and Security System,Security system supplier,"Security system supplier, Fire protection system supplier, Solar Energy Company",735134,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Rajganj SO, Fatapukur BO, Gadra BO",+91 90969 99424,http://www.krushnai.com/,4.7,,"Mandanil Bungalow, Modakeshwar, Society, Mahila Bank Rd, near Calibra Pre School, Charwak Chowk, Indira Nagar, Nashik, Maharashtra 422009","Charwak Chowk, Kala Nagar, Indira Nagar",19.9746636,73.7819584,ChIJI3C3oDvr3TsR7BCr1q4T1Wo,https://www.google.com/maps/place/?q=place_id:ChIJI3C3oDvr3TsR7BCr1q4T1Wo,part_329,2026-09-20 20:23:26
SS CCTV Solution | Best Camera Installation Near Me CCTV Shop & Dealer,CCTV Installation and Security System,Security system installation service,"Security system installation service, Camera store, Electrical installation service, Security service, Security system supplier",735134,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Rajganj SO, Fatapukur BO, Gadra BO",N/A,https://linktr.ee/sscctv,5.0,,"Prathamesh row ho. 06 , mira dattar road , near k k wagh engineering college Amrut dham, Panchavati, Nashik, Maharashtra 422003",Panchavati,20.0123429,73.8170718,ChIJF4UHVofr3TsRmDwJLcUFcnk,https://www.google.com/maps/place/?q=place_id:ChIJF4UHVofr3TsRmDwJLcUFcnk,part_329,2026-09-20 20:23:26
A Plus CCTV Solutions & Automation| Best CCTV Camera Dealer,CCTV Installation and Security System,Security system installation service,"Security system installation service, Home automation company",735134,West Bengal Circle,North Bengal Region,Jalpaiguri Division,"Rajganj SO, Fatapukur BO, Gadra BO",+91 73503 85509,https://www.apluscctvautomation.com/,4.7,,"N-42/VD-1/2-6, CIDCO - Satpur Rd, near Divya Adlab Theatre, 4th Scheme, Savata Nagar, Nashik, Maharashtra 422008","4th Scheme, Savata Nagar",19.980696899999998,73.7571732,ChIJT2ulmc3r3TsRdHanu5M9KUk,https://www.google.com/maps/place/?q=place_id:ChIJT2ulmc3r3TsRdHanu5M9KUk,part_329,2026-09-20 20:23:26
