business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lawrence & Mayo Boutique | Luxury Eyewear & Eye Testing | Kolkata,Optical Store and Eyewear,Optician,"Optician, Boutique, Contact lenses supplier, Eye care center, Sunglasses store",732122,West Bengal Circle,North Bengal Region,Malda Division,"Bulbulchandi SO, Agra Harishchandrapur BO, Gopalpurhat BO",+91 33 2229 7679,https://boutique.lawrenceandmayo.com/,5.0,,"20E, Park St, Park Street area, Kolkata, West Bengal 700016",Park Street area,22.5522317,88.35301419999999,ChIJ33o0YBF3AjoR32Mk3KxFyjk,https://www.google.com/maps/place/?q=place_id:ChIJ33o0YBF3AjoR32Mk3KxFyjk,part_326,2026-09-20 20:41:39
Lawrence & Mayo | Eye Testing & Opticians | Salt Lake,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Optical Products Manufacturer, Optical Wholesaler, Optometrist, Sunglasses store",732122,West Bengal Circle,North Bengal Region,Malda Division,"Bulbulchandi SO, Agra Harishchandrapur BO, Gopalpurhat BO",+91 33 4068 6072,https://lawrenceandmayo.com/stores/west-bengal/kolkata/salt-lake/,4.9,,"BE 100, BE Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","BE Block, Sector 1, Bidhannagar",22.598781499999998,88.41306829999999,ChIJ0UZcyuZ1AjoRDWZYJ3sAD9U,https://www.google.com/maps/place/?q=place_id:ChIJ0UZcyuZ1AjoRDWZYJ3sAD9U,part_326,2026-09-20 20:41:39
